,Year-on-year change in diners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All breakouts have 50+ restaurants in the set.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Includes phone, online, and walk-in diners.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,City,State,Country,18-Feb,19-Feb,20-Feb,21-Feb,22-Feb,23-Feb,24-Feb,25-Feb,26-Feb,27-Feb,28-Feb,29-Feb,1-Mar,2-Mar,3-Mar,4-Mar,5-Mar,6-Mar,7-Mar,8-Mar,9-Mar,10-Mar,11-Mar,12-Mar,13-Mar,14-Mar,
,Orlando,Florida,United States,-6%,-3%,-12%,-7%,2%,4%,5%,0%,14%,21%,5%,1%,4%,-18%,-18%,-18%,-2%,-1%,1%,-8%,-34%,-37%,-30%,-30%,-33%,-32%,
,Tampa,Florida,United States,7%,5%,2%,-4%,11%,-6%,-6%,15%,5%,5%,10%,5%,-15%,12%,3%,10%,-1%,-1%,0%,-2%,0%,-15%,-14%,-16%,-22%,-23%,
,Atlanta,Georgia,United States,6%,9%,-5%,-5%,-3%,-7%,-6%,1%,-3%,-4%,7%,1%,8%,-17%,-21%,-11%,-9%,-2%,1%,13%,1%,-14%,-14%,-26%,-35%,-34%,
,Honolulu,Hawaii,United States,-3%,1%,3%,9%,9%,-1%,5%,0%,7%,0%,0%,-6%,-9%,-6%,-9%,-11%,-13%,-12%,-9%,-18%,-15%,-16%,-17%,-20%,-18%,-22%,
,Chicago,Illinois,United States,-7%,-3%,-5%,-4%,7%,11%,-6%,-16%,-15%,-8%,-8%,-3%,1%,-21%,-16%,-10%,-11%,-8%,4%,13%,-25%,-23%,-27%,-31%,-37%,-49%,
,Indianapolis,Indiana,United States,52%,14%,-28%,-15%,4%,17%,10%,16%,-4%,-3%,-8%,3%,15%,-5%,-7%,3%,2%,0%,1%,-1%,-29%,-20%,-25%,-35%,-47%,-58%,
,Louisville,Kentucky,United States,28%,11%,7%,0%,6%,-11%,-5%,-5%,-11%,-9%,-13%,2%,13%,-6%,-13%,-15%,-7%,-7%,-5%,3%,-22%,-21%,-24%,-31%,-33%,-52%,
,New Orleans,Louisiana,United States,-9%,1%,14%,23%,10%,21%,109%,102%,9%,-21%,-21%,-16%,-27%,-47%,-59%,-32%,5%,6%,3%,-3%,-13%,-13%,-21%,-28%,-32%,-39%,
,Baltimore,Maryland,United States,10%,42%,12%,-9%,12%,16%,20%,9%,-4%,-1%,14%,4%,16%,-19%,-5%,23%,8%,8%,14%,-4%,-17%,-34%,-22%,-30%,-30%,-39%,
,Boston,Massachusetts,United States,5%,15%,-3%,-12%,-2%,14%,5%,3%,1%,12%,1%,22%,1%,1%,-10%,-4%,11%,7%,-1%,10%,-14%,-29%,-30%,-47%,-56%,-64%,
,Minneapolis,Minnesota,United States,-14%,27%,-33%,-15%,12%,33%,18%,27%,12%,29%,39%,11%,14%,-19%,-3%,6%,-13%,-6%,61%,23%,-19%,-14%,-17%,-28%,-22%,-35%,
,Las Vegas,Nevada,United States,-22%,-19%,-6%,0%,-4%,7%,-2%,-3%,-17%,-9%,-10%,-6%,-17%,-28%,-31%,-13%,-9%,-8%,-7%,-8%,-11%,-19%,-13%,-20%,-32%,-36%,
,New York,New York,United States,1%,11%,3%,0%,3%,13%,7%,1%,1%,-2%,1%,-2%,-2%,-6%,-12%,-12%,-9%,-15%,-10%,-4%,-18%,-30%,-36%,-52%,-61%,-64%,
,Charlotte,North Carolina,United States,1%,-3%,-27%,-1%,0%,-11%,-6%,5%,-3%,4%,13%,0%,6%,-2%,-8%,-1%,-7%,4%,-5%,-10%,-8%,-12%,-18%,-30%,-35%,-34%,
,Raleigh,North Carolina,United States,7%,10%,-49%,-9%,4%,1%,-11%,-9%,-5%,-1%,-4%,-2%,1%,-6%,-9%,-8%,-13%,-9%,-9%,-11%,-18%,-18%,-15%,-21%,-29%,-39%,
,Cincinnati,Ohio,United States,7%,1%,-6%,-6%,-8%,-12%,-8%,-7%,-33%,-15%,-16%,-11%,4%,-5%,-16%,-9%,-6%,-21%,-14%,-23%,-18%,-13%,-20%,-19%,-37%,-52%,
,Columbus,Ohio,United States,-10%,0%,-3%,-6%,-8%,7%,0%,-17%,-14%,-15%,-15%,-15%,22%,-14%,-9%,-11%,-10%,-9%,-5%,3%,-26%,-19%,-19%,-37%,-38%,-53%,
,Portland,Oregon,United States,1%,-4%,7%,11%,6%,22%,14%,-7%,17%,4%,-4%,4%,9%,5%,-3%,-1%,3%,0%,-3%,5%,-16%,-7%,-20%,-36%,-41%,-39%,
,Philadelphia,Pennsylvania,United States,10%,55%,11%,1%,2%,6%,-2%,-2%,10%,13%,11%,7%,21%,13%,4%,6%,8%,-7%,1%,3%,-7%,-14%,-16%,-40%,-40%,-48%,
,Pittsburgh,Pennsylvania,United States,10%,24%,-14%,-9%,-4%,-4%,14%,-3%,-10%,-19%,-16%,5%,32%,-12%,-11%,-2%,-10%,-17%,9%,1%,-13%,-31%,-24%,-42%,-42%,-48%,
,Nashville,Tennessee,United States,13%,7%,-10%,7%,10%,-12%,-14%,-12%,-14%,4%,12%,3%,-3%,2%,-14%,2%,-3%,0%,5%,-4%,-13%,-7%,-21%,-30%,-37%,-40%,
,Austin,Texas,United States,0%,-6%,2%,3%,2%,5%,3%,5%,-3%,0%,8%,9%,2%,0%,-8%,-11%,-6%,0%,-13%,-23%,-41%,-31%,-30%,-27%,-35%,-36%,
,Dallas,Texas,United States,6%,-4%,1%,3%,-3%,-2%,-2%,14%,1%,-7%,6%,10%,11%,1%,-6%,-8%,0%,3%,-1%,-2%,-15%,-10%,-12%,-25%,-35%,-35%,
,Houston,Texas,United States,-2%,-8%,-3%,3%,1%,-10%,4%,7%,9%,1%,-6%,-6%,2%,2%,-8%,-8%,7%,6%,10%,7%,-14%,-17%,-8%,-24%,-33%,-34%,
,San Antonio,Texas,United States,-6%,-4%,-5%,2%,-6%,-15%,-15%,9%,-5%,5%,1%,-6%,0%,-6%,-22%,-10%,-6%,-8%,-15%,-23%,-32%,-22%,-27%,-28%,-41%,-39%,
,Seattle,Washington,United States,8%,11%,6%,1%,1%,12%,1%,0%,3%,5%,7%,0%,-18%,-29%,-31%,-31%,-36%,-34%,-35%,-25%,-47%,-49%,-54%,-58%,-63%,-63%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
